Symbol,AssetType,Name,CIK,Exchange,Currency,Country,Sector,Industry,Address,OfficialSite,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,SharesFloat,PercentInsiders,PercentInstitutions,DividendDate,ExDividendDate
IBM,Common Stock,International Business Machines,51143,NYSE,USD,USA,TECHNOLOGY,INFORMATION TECHNOLOGY SERVICES,"ONE NEW ORCHARD ROAD, ARMONK, NY, UNITED STATES, 10504",https://www.ibm.com,December,2025-06-30,264840233000,14183000000,45.86,1.72,29.53,6.69,0.0238,6.2,69.07,0.0911,0.183,0.0481,0.227,64040002000,36868002000,6.2,0.177,0.077,281.25,1,7,9,2,1,45.86,23.75,4.136,9.63,4.952,24.58,0.697,294.17,197.92,254.9,252.27,931519000,929395000,0.122,65.137,2025-09-10,2025-08-08
AAPL,Common Stock,Apple Inc,320193,NASDAQ,USD,USA,TECHNOLOGY,CONSUMER ELECTRONICS,"ONE APPLE PARK WAY, CUPERTINO, CA, UNITED STATES, 95014",https://www.apple.com,September,2025-06-30,3791126004000,141696008000,38.76,2.446,4.431,1.01,0.0039,6.59,27.17,0.243,0.3,0.245,1.498,408624988000,190739005000,6.59,0.121,0.096,243.19,5,22,15,1,1,38.76,31.75,9.28,57.59,9.39,27.08,1.109,259.18,168.8,228.45,221.97,14840390000,14814419000,1.970,63.646,2025-08-14,2025-08-11
AMZN,Common Stock,Amazon.com Inc,1018724,NASDAQ,USD,USA,CONSUMER CYCLICAL,INTERNET RETAIL,"410 TERRY AVENUE NORTH, SEATTLE, WA, UNITED STATES, 98109-5210",https://www.aboutamazon.com,December,2025-06-30,2343934362000,133831999000,33.55,1.948,31.31,None,None,6.55,63.37,0.105,0.114,0.077,0.248,670038032000,332382994000,6.55,0.333,0.133,265.3,15,49,4,0,0,33.55,28.25,3.498,7.02,3.559,16.59,1.309,242.52,161.38,227.38,214.75,10664912000,9644813000,8.445,66.321,None,None
GOOG,Common Stock,Alphabet Inc Class C,1652044,NASDAQ,USD,USA,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA, UNITED STATES, 94043",https://abc.xyz,December,2025-06-30,2985129935000,140840993000,26.38,1.681,29.98,1.01,0.0041,9.37,30.43,0.311,0.324,0.168,0.348,371399000000,218911998000,9.37,0.223,0.138,240.65,13,42,11,0,0,26.38,23.42,8.04,8.24,7.88,18.55,1.011,256.7,142.36,216.05,186.39,5430000000,10836466000,6.690,60.856,2025-09-15,2025-09-08
